监测日期,SO2监测浓度(μg/m3),NO2监测浓度(μg/m3),PM10监测浓度(μg/m3),PM2.5监测浓度(μg/m3),O3最大八小时滑动平均监测浓度(μg/m3),CO监测浓度(mg/m3)
2021-5-21,3,11,21,5,63,0.4
2021-5-22,2,10,18,4,74,0.4
2021-5-23,2,12,19,4,81,0.4
2021-5-24,4,26,23,7,44,0.5
2021-5-25,7,35,24,10,65,0.6
2021-5-26,6,21,24,7,72,0.5
2021-5-27,8,16,20,5,79,0.4
2021-5-28,6,16,22,4,75,0.4
2021-5-29,6,17,25,5,58,0.4
2021-5-30,5,16,30,9,76,0.5
2021-5-31,5,19,22,9,83,0.5
2021-6-1,3,29,16,5,58,0.5
2021-6-2,3,32,24,8,47,0.5
2021-6-3,3,25,32,11,84,0.6
2021-6-4,3,25,22,8,59,0.6
2021-6-5,7,30,40,18,168,0.6
2021-6-6,12,32,58,34,212,0.7
2021-6-7,8,19,38,24,192,0.6
2021-6-8,8,23,37,17,197,0.5
2021-6-9,8,24,23,6,88,0.4
2021-6-10,8,27,23,7,93,0.4
2021-6-11,8,26,30,8,86,0.4
2021-6-12,7,21,18,4,46,0.4
2021-6-13,6,27,21,4,35,0.4
2021-6-14,5,17,22,5,35,0.4
2021-6-15,5,16,26,8,67,0.4
2021-6-16,5,13,26,9,64,0.4
2021-6-17,4,19,26,8,45,0.4
2021-6-18,5,15,28,10,87,0.4
2021-6-19,5,13,30,12,96,0.4
2021-6-20,7,12,33,13,96,0.4
2021-6-21,6,16,35,15,95,0.4
2021-6-22,4,34,22,12,88,0.4
2021-6-23,4,29,22,12,62,0.4
2021-6-24,5,38,32,16,49,0.5
2021-6-25,5,25,32,16,90,0.5
2021-6-26,4,32,34,14,65,0.4
2021-6-27,4,15,34,14,68,0.4
2021-6-28,5,16,33,13,65,0.4
2021-6-29,6,14,33,13,59,0.5
2021-6-30,5,11,32,12,54,0.5
2021-7-1,5,8,33,12,69,0.5
2021-7-2,6,10,31,10,74,0.5
2021-7-3,6,12,34,13,67,0.5
2021-7-4,6,10,27,10,93,0.4
2021-7-5,6,19,21,4,64,0.4
2021-7-6,6,25,25,4,39,0.4
2021-7-7,5,18,18,3,54,0.4
2021-7-8,5,15,18,3,64,0.4
2021-7-9,7,17,28,12,146,0.4
2021-7-10,6,13,20,5,81,0.4
2021-7-11,6,11,20,3,63,0.3
2021-7-12,6,11,17,5,81,0.4
